time	I(CL)+I(RL)
7.973383024466745e-04	5.995083e-02
7.974383024466744e-04	5.995084e-02
7.975383024466743e-04	5.995085e-02
7.976383024466743e-04	5.995086e-02
7.977383024466742e-04	5.995087e-02
7.978383024466742e-04	5.995089e-02
7.979383024466741e-04	5.995090e-02
7.980383024466741e-04	5.995091e-02
7.981383024466740e-04	5.995092e-02
7.982383024466740e-04	5.995093e-02
7.983383024466739e-04	5.995094e-02
7.984383024466739e-04	5.995095e-02
7.985383024466738e-04	5.995096e-02
7.986383024466738e-04	5.995097e-02
7.987383024466737e-04	5.995099e-02
7.988383024466737e-04	5.995100e-02
7.989383024466736e-04	5.995101e-02
7.990383024466736e-04	5.995102e-02
7.991383024466735e-04	5.995103e-02
7.992383024466735e-04	5.995104e-02
7.993383024466734e-04	5.995105e-02
7.994383024466734e-04	5.995107e-02
7.995383024466733e-04	5.995108e-02
7.996383024466733e-04	5.995109e-02
7.997383024466732e-04	5.995110e-02
7.998383024466732e-04	5.995111e-02
7.999383024466731e-04	5.995112e-02
8.000383024466731e-04	5.995113e-02
8.001383024466730e-04	5.995114e-02
8.002383024466729e-04	5.995115e-02
8.003383024466729e-04	5.995116e-02
8.004383024466728e-04	5.995118e-02
8.005383024466728e-04	5.995119e-02
8.006383024466727e-04	5.995120e-02
8.007383024466727e-04	5.995121e-02
8.008383024466726e-04	5.995122e-02
8.009383024466726e-04	5.995123e-02
8.010383024466725e-04	5.995124e-02
8.011383024466725e-04	5.995125e-02
8.012383024466724e-04	5.995126e-02
8.013383024466724e-04	5.995127e-02
8.014383024466723e-04	5.995128e-02
8.015383024466723e-04	5.995130e-02
8.016383024466722e-04	5.995131e-02
8.017383024466722e-04	5.995132e-02
8.018383024466721e-04	5.995133e-02
8.019383024466721e-04	5.995134e-02
8.020383024466720e-04	5.995135e-02
8.021383024466720e-04	5.995136e-02
8.022383024466719e-04	5.995137e-02
8.023383024466719e-04	5.995139e-02
8.024383024466718e-04	5.995140e-02
8.025383024466718e-04	5.995141e-02
8.026383024466717e-04	5.995142e-02
8.027383024466717e-04	5.995143e-02
8.028383024466716e-04	5.995144e-02
8.029383024466716e-04	5.995145e-02
8.030383024466715e-04	5.995146e-02
8.031383024466714e-04	5.995148e-02
8.032383024466714e-04	5.995149e-02
8.033383024466713e-04	5.995150e-02
8.034383024466713e-04	5.995151e-02
8.035383024466712e-04	5.995152e-02
8.036383024466712e-04	5.995153e-02
8.037383024466711e-04	5.995154e-02
8.038383024466711e-04	5.995155e-02
8.039383024466710e-04	5.995156e-02
8.040383024466710e-04	5.995158e-02
8.041383024466709e-04	5.995159e-02
8.042383024466709e-04	5.995160e-02
8.043383024466708e-04	5.995161e-02
8.044383024466708e-04	5.995162e-02
8.045383024466707e-04	5.995163e-02
8.046383024466707e-04	5.995164e-02
8.047383024466706e-04	5.995165e-02
8.048383024466706e-04	5.995166e-02
8.049383024466705e-04	5.995167e-02
8.050383024466705e-04	5.995168e-02
8.051383024466704e-04	5.995170e-02
8.052383024466704e-04	5.995171e-02
8.053383024466703e-04	5.995172e-02
8.054383024466703e-04	5.995173e-02
8.055383024466702e-04	5.995174e-02
8.056383024466702e-04	5.995175e-02
8.057383024466701e-04	5.995176e-02
8.058383024466700e-04	5.995177e-02
8.059383024466700e-04	5.995178e-02
8.060383024466699e-04	5.995179e-02
8.061383024466699e-04	5.995181e-02
8.062383024466698e-04	5.995182e-02
8.063383024466698e-04	5.995183e-02
8.064383024466697e-04	5.995184e-02
8.065383024466697e-04	5.995185e-02
8.066383024466696e-04	5.995186e-02
8.067383024466696e-04	5.995187e-02
8.068383024466695e-04	5.995188e-02
8.069383024466695e-04	5.995189e-02
8.070383024466694e-04	5.995190e-02
8.071383024466694e-04	5.995191e-02
8.072383024466693e-04	5.995193e-02
8.073383024466693e-04	5.995194e-02
8.074383024466692e-04	5.995195e-02
8.075383024466692e-04	5.995196e-02
8.076383024466691e-04	5.995197e-02
8.077383024466691e-04	5.995198e-02
8.078383024466690e-04	5.995199e-02
8.079383024466690e-04	5.995200e-02
8.080383024466689e-04	5.995201e-02
8.081383024466689e-04	5.995202e-02
8.082383024466688e-04	5.995204e-02
8.083383024466688e-04	5.995205e-02
8.084383024466687e-04	5.995206e-02
