time	I(CL)+I(RL)
1.889677989730085e-03	-5.886568e-02
1.889777989730085e-03	-5.886565e-02
1.889877989730085e-03	-5.886562e-02
1.889977989730085e-03	-5.886559e-02
1.890077989730085e-03	-5.886556e-02
1.890177989730085e-03	-5.886553e-02
1.890277989730085e-03	-5.886550e-02
1.890377989730085e-03	-5.886547e-02
1.890477989730085e-03	-5.886544e-02
1.890577989730085e-03	-5.886541e-02
1.890677989730085e-03	-5.886538e-02
1.890777989730085e-03	-5.886535e-02
1.890877989730085e-03	-5.886532e-02
1.890977989730085e-03	-5.886529e-02
1.891077989730085e-03	-5.886526e-02
1.891177989730085e-03	-5.886523e-02
1.891277989730085e-03	-5.886520e-02
1.891377989730086e-03	-5.886517e-02
1.891477989730086e-03	-5.886514e-02
1.891577989730086e-03	-5.886511e-02
1.891677989730086e-03	-5.886508e-02
1.891777989730086e-03	-5.886505e-02
1.891877989730086e-03	-5.886503e-02
1.891977989730086e-03	-5.886500e-02
1.892077989730086e-03	-5.886497e-02
1.892177989730086e-03	-5.886494e-02
1.892277989730086e-03	-5.886491e-02
1.892377989730086e-03	-5.886488e-02
1.892477989730086e-03	-5.886485e-02
1.892577989730086e-03	-5.886482e-02
1.892677989730086e-03	-5.886479e-02
1.892777989730086e-03	-5.886476e-02
1.892877989730086e-03	-5.886473e-02
1.892977989730086e-03	-5.886470e-02
1.893077989730086e-03	-5.886467e-02
1.893177989730087e-03	-5.886464e-02
1.893277989730087e-03	-5.886461e-02
1.893377989730087e-03	-5.886458e-02
1.893477989730087e-03	-5.886455e-02
1.893577989730087e-03	-5.886452e-02
1.893677989730087e-03	-5.886450e-02
1.893777989730087e-03	-5.886447e-02
1.893877989730087e-03	-5.886444e-02
1.893977989730087e-03	-5.886441e-02
1.894077989730087e-03	-5.886438e-02
1.894177989730087e-03	-5.886435e-02
1.894277989730087e-03	-5.886432e-02
1.894377989730087e-03	-5.886429e-02
1.894477989730087e-03	-5.886426e-02
1.894577989730087e-03	-5.886423e-02
1.894677989730087e-03	-5.886420e-02
1.894777989730087e-03	-5.886417e-02
1.894877989730087e-03	-5.886414e-02
1.894977989730088e-03	-5.886411e-02
1.895077989730088e-03	-5.886408e-02
1.895177989730088e-03	-5.886405e-02
1.895277989730088e-03	-5.886402e-02
1.895377989730088e-03	-5.886400e-02
1.895477989730088e-03	-5.886397e-02
1.895577989730088e-03	-5.886394e-02
1.895677989730088e-03	-5.886391e-02
1.895777989730088e-03	-5.886388e-02
1.895877989730088e-03	-5.886385e-02
1.895977989730088e-03	-5.886382e-02
1.896077989730088e-03	-5.886379e-02
1.896177989730088e-03	-5.886376e-02
1.896277989730088e-03	-5.886373e-02
1.896377989730088e-03	-5.886370e-02
1.896477989730088e-03	-5.886367e-02
1.896577989730088e-03	-5.886364e-02
1.896677989730089e-03	-5.886361e-02
1.896777989730089e-03	-5.886359e-02
1.896877989730089e-03	-5.886356e-02
1.896977989730089e-03	-5.886353e-02
1.897077989730089e-03	-5.886350e-02
1.897177989730089e-03	-5.886347e-02
1.897277989730089e-03	-5.886344e-02
1.897377989730089e-03	-5.886341e-02
1.897477989730089e-03	-5.886338e-02
1.897577989730089e-03	-5.886335e-02
1.897677989730089e-03	-5.886332e-02
1.897777989730089e-03	-5.886329e-02
1.897877989730089e-03	-5.886326e-02
1.897977989730089e-03	-5.886323e-02
1.898077989730089e-03	-5.886320e-02
1.898177989730089e-03	-5.886317e-02
1.898277989730089e-03	-5.886315e-02
1.898377989730089e-03	-5.886312e-02
1.898477989730090e-03	-5.886309e-02
1.898577989730090e-03	-5.886306e-02
1.898677989730090e-03	-5.886303e-02
1.898777989730090e-03	-5.886300e-02
1.898877989730090e-03	-5.886297e-02
